dates,train_values
1959-04-15,35
1959-04-16,32
1959-04-17,42
1959-04-18,34
1959-04-19,46
1959-04-20,30
1959-04-21,46
1959-04-22,45
1959-04-23,54
1959-04-24,34
1959-04-25,37
1959-04-26,35
1959-04-27,40
1959-04-28,42
1959-04-29,58
1959-04-30,51
1959-05-01,32
1959-05-02,35
1959-05-03,38
1959-05-04,33
1959-05-05,39
1959-05-06,47
1959-05-07,38
1959-05-08,52
1959-05-09,30
1959-05-10,34
1959-05-11,40
1959-05-12,35
1959-05-13,42
1959-05-14,41
1959-05-15,42
1959-05-16,38
1959-05-17,24
1959-05-18,34
1959-05-19,43
1959-05-20,36
1959-05-21,55
1959-05-22,41
1959-05-23,45
1959-05-24,41
